shot_id,phase,n_slices,n_ood_slices,r_OOD,train_fraction_membership
11766,train,7,0,0,"5,50,100"
11767,train,7,0,0,"50,100"
11768,train,6,0,0,100
11769,train,12,0,0,"25,100"
11771,train,9,0,0,100
11772,train,1,0,0,"50,100"
11773,train,4,0,0,"50,100"
11774,train,12,0,0,100
11775,train,17,0,0,"25,100"
11776,train,12,0,0,"25,50,100"
11777,train,10,0,0,"50,100"
11779,train,14,0,0,"50,100"
11780,train,15,0,0,"50,100"
11789,train,13,0,0,"25,100"
11790,train,14,0,0,100
11791,train,13,0,0,100
11794,train,22,0,0,100
11795,train,18,0,0,100
11796,train,21,0,0,"25,50,100"
11797,train,18,0,0,"5,100"
11798,train,12,0,0,"50,100"
11799,train,19,0,0,100
11802,train,14,0,0,100
11804,train,5,0,0,"25,100"
11805,train,10,0,0,"50,100"
11806,train,7,0,0,"25,50,100"
11807,train,13,0,0,"50,100"
11808,train,9,0,0,"50,100"
11809,train,5,0,0,100
11810,train,16,0,0,"50,100"
11811,train,9,0,0,"50,100"
11812,train,16,0,0,"5,100"
11816,train,21,0,0,100
11817,train,4,0,0,100
11818,train,1,0,0,100
11819,train,1,0,0,"25,100"
11820,train,2,0,0,100
11825,train,9,0,0,"1,100"
11826,train,1,0,0,"50,100"
11827,train,17,0,0,100
11829,train,7,0,0,100
11831,train,17,0,0,"50,100"
11834,train,1,0,0,"50,100"
11835,train,16,0,0,"50,100"
11836,train,9,0,0,"50,100"
11837,train,4,0,0,"5,25,50,100"
11838,train,2,0,0,"50,100"
11840,train,3,0,0,"25,50,100"
11841,train,1,0,0,"50,100"
11847,train,12,0,0,"50,100"
11848,train,10,0,0,100
11849,train,10,0,0,"5,25,100"
11850,train,8,0,0,"50,100"
11851,train,11,0,0,"50,100"
11889,train,22,0,0,"25,100"
11890,train,19,0,0,"50,100"
11891,train,14,0,0,"5,25,100"
11893,train,16,0,0,"25,100"
11894,train,14,0,0,"50,100"
11896,train,5,0,0,"50,100"
11897,train,7,0,0,"1,50,100"
11898,train,12,0,0,"5,50,100"
11901,train,1,0,0,100
11902,train,21,0,0,"50,100"
11903,train,11,0,0,"50,100"
11905,train,22,0,0,"50,100"
11906,train,19,0,0,100
11908,train,18,0,0,"25,50,100"
11911,train,26,0,0,"50,100"
11912,train,28,0,0,100
11913,train,17,0,0,100
11914,train,16,0,0,100
11915,train,1,0,0,"5,25,50,100"
11916,train,9,0,0,"50,100"
11917,train,9,0,0,"50,100"
11921,train,7,0,0,"25,50,100"
11922,train,7,0,0,"25,100"
11923,train,9,0,0,100
11924,train,9,0,0,"5,100"
11925,train,5,0,0,"1,50,100"
11926,train,1,0,0,"50,100"
11927,train,4,0,0,100
11930,train,5,0,0,100
11931,train,22,0,0,"50,100"
11932,train,1,0,0,100
11933,train,15,0,0,"50,100"
11934,train,10,0,0,"25,50,100"
11935,train,7,0,0,100
11936,train,16,0,0,"50,100"
11937,train,35,0,0,"25,100"
11938,train,23,0,0,100
11939,train,11,0,0,"50,100"
11940,train,20,0,0,"50,100"
11941,train,19,0,0,100
11942,train,16,0,0,100
11943,train,38,0,0,"50,100"
11944,train,39,0,0,"50,100"
11945,train,40,0,0,"50,100"
11946,train,39,0,0,"25,100"
11948,train,36,0,0,"50,100"
11949,train,33,0,0,"25,50,100"
11950,train,4,0,0,100
11951,train,44,0,0,"50,100"
11952,train,44,0,0,"50,100"
11953,train,46,0,0,"25,100"
11954,train,36,0,0,100
11955,train,44,0,0,"25,50,100"
11956,train,46,0,0,"50,100"
11957,train,23,0,0,"25,50,100"
11958,train,31,0,0,"50,100"
11993,train,29,0,0,"50,100"
11996,train,47,0,0,100
11998,train,29,0,0,"50,100"
12001,train,28,0,0,"50,100"
12003,train,29,0,0,"50,100"
12004,train,25,0,0,"50,100"
12006,train,24,0,0,"25,50,100"
12007,train,22,0,0,"5,50,100"
12008,train,8,0,0,"50,100"
12009,train,5,0,0,"50,100"
12010,train,29,0,0,100
12012,train,27,0,0,100
12013,train,20,0,0,"25,50,100"
12014,train,5,0,0,"50,100"
12016,train,37,0,0,"50,100"
12017,train,27,0,0,"50,100"
12018,train,16,0,0,"50,100"
12022,train,26,0,0,"25,100"
12023,train,42,0,0,100
12024,train,37,0,0,"25,50,100"
12025,train,27,0,0,"5,50,100"
12027,train,23,0,0,100
12028,train,33,0,0,"50,100"
12029,train,36,0,0,"50,100"
12030,train,40,0,0,"25,50,100"
12031,train,46,0,0,100
12032,train,32,0,0,100
12033,train,40,0,0,100
12034,train,47,0,0,100
12035,train,21,0,0,100
12036,train,33,0,0,"50,100"
12037,train,33,0,0,"25,50,100"
12038,train,21,0,0,"50,100"
12039,train,31,0,0,"50,100"
12046,train,19,0,0,"1,100"
12055,train,3,0,0,100
12056,train,4,0,0,"50,100"
12058,train,13,0,0,"50,100"
12080,train,7,0,0,"50,100"
12083,train,8,0,0,100
12085,train,8,0,0,100
12088,train,13,0,0,100
12089,train,14,0,0,"5,100"
12090,train,13,0,0,"50,100"
12092,train,25,0,0,"50,100"
12093,train,20,0,0,"50,100"
12094,train,11,0,0,"50,100"
12097,train,37,0,0,"50,100"
12098,train,41,0,0,"50,100"
12100,train,41,0,0,100
12101,train,48,0,0,"50,100"
12102,train,44,0,0,"50,100"
12106,train,45,0,0,"5,50,100"
12107,train,43,0,0,"50,100"
12108,train,52,0,0,"50,100"
12109,train,36,0,0,"25,50,100"
12110,train,30,0,0,100
12111,train,46,0,0,"5,100"
12112,train,30,0,0,100
12113,train,44,0,0,100
12114,train,31,0,0,"25,100"
12115,train,33,0,0,"25,100"
12116,train,31,0,0,"50,100"
12117,train,32,0,0,"50,100"
12118,train,47,0,0,"25,50,100"
12120,train,20,0,0,"5,25,50,100"
12130,train,24,0,0,"25,50,100"
12139,train,41,0,0,"25,100"
12140,train,48,0,0,"25,50,100"
12141,train,46,0,0,"50,100"
12142,train,42,0,0,100
12143,train,45,0,0,"25,50,100"
12144,train,46,0,0,"25,100"
12145,train,46,0,0,"25,50,100"
12146,train,20,0,0,100
12147,train,26,0,0,100
12148,train,42,0,0,100
12150,train,26,0,0,"50,100"
12151,train,27,0,0,"25,50,100"
12152,train,48,0,0,"25,100"
12153,train,5,0,0,"25,50,100"
12154,train,16,0,0,"50,100"
12158,train,39,0,0,"50,100"
12161,train,14,0,0,"50,100"
12162,train,25,0,0,100
12163,train,13,0,0,"50,100"
12164,train,33,0,0,100
12165,train,12,0,0,100
12166,train,30,0,0,100
12167,train,12,0,0,100
12168,train,12,0,0,"50,100"
12169,train,10,0,0,100
12170,train,28,0,0,100
12171,train,8,0,0,100
12172,train,7,0,0,100
12173,train,8,0,0,"50,100"
12174,train,7,0,0,"50,100"
12175,train,19,0,0,"25,100"
12177,train,28,0,0,"50,100"
12178,train,23,0,0,100
12179,train,10,0,0,"50,100"
12180,train,28,0,0,100
12181,train,27,0,0,"50,100"
12182,train,4,0,0,"25,100"
12183,train,18,0,0,"25,50,100"
12184,train,3,0,0,"50,100"
12185,train,19,0,0,"5,100"
12189,train,47,0,0,"50,100"
12190,train,50,0,0,"50,100"
12191,train,49,0,0,"50,100"
12192,train,47,0,0,"25,50,100"
12194,train,48,0,0,"50,100"
12195,train,56,0,0,100
12196,train,41,0,0,"50,100"
12198,train,39,0,0,"25,50,100"
12200,train,41,0,0,"25,100"
12201,train,43,0,0,"25,100"
12202,train,26,0,0,100
12203,train,36,0,0,100
12204,train,35,0,0,"25,100"
12208,train,25,0,0,"25,50,100"
12209,train,30,0,0,100
12210,train,18,0,0,"50,100"
12214,train,54,0,0,"50,100"
12215,train,54,0,0,"25,100"
12216,train,52,0,0,"25,50,100"
12218,train,39,0,0,100
12219,train,45,0,0,"50,100"
12220,train,57,0,0,"50,100"
12221,train,50,0,0,"50,100"
12223,train,32,0,0,"50,100"
12224,train,48,0,0,100
12228,train,1,0,0,"25,100"
12229,train,44,0,0,100
12230,train,14,0,0,"50,100"
12231,train,1,0,0,"5,100"
12232,train,37,0,0,100
12233,train,1,0,0,"50,100"
12234,train,54,0,0,100
12236,train,51,0,0,"50,100"
12237,train,40,0,0,100
12241,train,44,0,0,"50,100"
12242,train,40,0,0,100
12243,train,26,0,0,100
12245,train,28,0,0,"50,100"
12246,train,23,0,0,"50,100"
12247,train,32,0,0,"50,100"
12248,train,29,0,0,"25,50,100"
12250,train,33,0,0,"50,100"
12252,train,29,0,0,100
12253,train,31,0,0,"50,100"
12254,train,33,0,0,100
12255,train,40,0,0,100
12256,train,37,0,0,"25,50,100"
12257,train,35,0,0,"25,100"
12258,train,35,0,0,"50,100"
12259,train,14,0,0,"25,100"
12260,train,35,0,0,100
12261,train,35,0,0,"50,100"
12262,train,30,0,0,"25,50,100"
12263,train,22,0,0,"25,100"
12264,train,23,0,0,"50,100"
12266,train,33,0,0,"25,50,100"
12267,train,33,0,0,"5,50,100"
12268,train,35,0,0,100
12269,train,36,0,0,100
12270,train,27,0,0,100
