phase,train_fractions_nested,shot_id,target_time,sample_id
train,100,11766,0.0449999999999999,11766_t0.045_real
train,100,11766,0.05,11766_t0.05_real
train,100,11766,0.0749999999999999,11766_t0.075_real
train,100,11766,0.1749999999999999,11766_t0.175_real
train,100,11766,0.2349999999999999,11766_t0.235_real
train,100,11766,0.23,11766_t0.23_real
train,100,11766,0.245,11766_t0.245_real
train,100,11766,0.2399999999999999,11766_t0.24_real
train,100,11766,0.255,11766_t0.255_real
train,100,11766,0.25,11766_t0.25_real
train,100,11767,0.0449999999999999,11767_t0.045_real
train,100,11767,0.055,11767_t0.055_real
train,100,11767,0.05,11767_t0.05_real
train,100,11767,0.0749999999999999,11767_t0.075_real
train,100,11767,0.085,11767_t0.085_real
train,100,11767,0.185,11767_t0.185_real
train,100,11767,0.1799999999999999,11767_t0.18_real
train,100,11767,0.19,11767_t0.19_real
train,100,11767,0.2049999999999999,11767_t0.205_real
train,100,11767,0.215,11767_t0.215_real
train,100,11767,0.22,11767_t0.22_real
train,100,11767,0.23,11767_t0.23_real
train,100,11768,0.0449999999999999,11768_t0.045_real
train,100,11768,0.05,11768_t0.05_real
train,100,11768,0.0749999999999999,11768_t0.075_real
train,100,11768,0.2349999999999999,11768_t0.235_real
train,100,11768,0.245,11768_t0.245_real
train,100,11768,0.2399999999999999,11768_t0.24_real
train,100,11768,0.255,11768_t0.255_real
train,100,11768,0.25,11768_t0.25_real
train,100,11768,0.265,11768_t0.265_real
train,100 50,11769,0.0449999999999999,11769_t0.045_real
train,100 50,11769,0.05,11769_t0.05_real
train,100 50,11769,0.065,11769_t0.065_real
train,100 50,11769,0.0749999999999999,11769_t0.075_real
train,100 50,11769,0.07,11769_t0.07_real
train,100 50,11769,0.085,11769_t0.085_real
train,100 50,11769,0.08,11769_t0.08_real
train,100 50,11769,0.135,11769_t0.135_real
train,100 50,11769,0.13,11769_t0.13_real
train,100 50,11769,0.1449999999999999,11769_t0.145_real
train,100 50,11769,0.14,11769_t0.14_real
train,100 50,11769,0.155,11769_t0.155_real
train,100 50,11769,0.1499999999999999,11769_t0.15_real
train,100 50,11769,0.19,11769_t0.19_real
train,100 50,11769,0.225,11769_t0.225_real
train,100 50,11769,0.22,11769_t0.22_real
train,100 50,11769,0.2349999999999999,11769_t0.235_real
train,100 50,11769,0.23,11769_t0.23_real
train,100 50,11769,0.245,11769_t0.245_real
train,100 50,11769,0.2399999999999999,11769_t0.24_real
train,100 50,11769,0.255,11769_t0.255_real
train,100 50,11769,0.25,11769_t0.25_real
train,100 50,11769,0.26,11769_t0.26_real
train,100,11771,0.0449999999999999,11771_t0.045_real
train,100,11771,0.05,11771_t0.05_real
train,100,11771,0.065,11771_t0.065_real
train,100,11771,0.0749999999999999,11771_t0.075_real
train,100,11771,0.07,11771_t0.07_real
train,100,11771,0.085,11771_t0.085_real
train,100,11771,0.08,11771_t0.08_real
train,100,11771,0.155,11771_t0.155_real
train,100,11771,0.165,11771_t0.165_real
train,100,11771,0.17,11771_t0.17_real
train,100,11771,0.22,11771_t0.22_real
train,100,11771,0.2349999999999999,11771_t0.235_real
train,100,11771,0.23,11771_t0.23_real
train,100,11771,0.245,11771_t0.245_real
train,100,11771,0.2399999999999999,11771_t0.24_real
train,100,11771,0.255,11771_t0.255_real
train,100,11771,0.25,11771_t0.25_real
train,100,11772,0.055,11772_t0.055_real
train,100,11772,0.05,11772_t0.05_real
train,100,11772,0.065,11772_t0.065_real
train,100,11772,0.0599999999999999,11772_t0.06_real
train,100,11772,0.095,11772_t0.095_real
train,100,11773,0.05,11773_t0.05_real
train,100,11773,0.065,11773_t0.065_real
train,100,11773,0.0599999999999999,11773_t0.06_real
train,100,11773,0.07,11773_t0.07_real
train,100,11773,0.125,11773_t0.125_real
train,100,11773,0.1,11773_t0.1_real
train,100,11773,0.245,11773_t0.245_real
train,100,11773,0.265,11773_t0.265_real
train,100,11774,0.05,11774_t0.05_real
train,100,11774,0.0599999999999999,11774_t0.06_real
train,100,11774,0.0899999999999999,11774_t0.09_real
train,100,11774,0.255,11774_t0.255_real
train,100,11774,0.25,11774_t0.25_real
train,100,11774,0.26,11774_t0.26_real
train,100,11774,0.275,11774_t0.275_real
train,100,11774,0.27,11774_t0.27_real
train,100,11774,0.2849999999999999,11774_t0.285_real
train,100,11774,0.28,11774_t0.28_real
train,100,11774,0.2949999999999999,11774_t0.295_real
train,100,11774,0.2899999999999999,11774_t0.29_real
train,100,11774,0.3049999999999999,11774_t0.305_real
train,100,11774,0.2999999999999999,11774_t0.3_real
train,100 50 25,11775,0.055,11775_t0.055_real
train,100 50 25,11775,0.05,11775_t0.05_real
train,100 50 25,11775,0.0599999999999999,11775_t0.06_real
train,100 50 25,11775,0.105,11775_t0.105_real
train,100 50 25,11775,0.19,11775_t0.19_real
train,100 50 25,11775,0.215,11775_t0.215_real
train,100 50 25,11775,0.225,11775_t0.225_real
train,100 50 25,11775,0.22,11775_t0.22_real
