shot_id,phase,train_fractions_nested,n_slices
11766,train, 100,10
11767,train, 100,12
11768,train, 100,9
11769,train,50 100,23
11771,train, 100,17
11772,train, 100,5
11773,train, 100,8
11774,train, 100,14
11775,train,25 50 100,20
11776,train, 100,17
11777,train, 100,13
11779,train, 100,18
11780,train, 100,15
11789,train,25 50 100,18
11790,train,50 100,14
11791,train,50 100,17
11794,train, 100,22
11795,train,10 25 50 100,22
11796,train,25 50 100,21
11797,train,50 100,18
11798,train,10 25 50 100,22
11799,train, 100,22
11802,train,1 5 10 25 50 100,14
11804,train, 100,5
11805,train, 100,20
11806,train, 100,12
11807,train, 100,17
11808,train,50 100,17
11809,train, 100,13
11810,train, 100,27
11811,train, 100,25
11812,train,25 50 100,32
11816,train,5 10 25 50 100,32
11817,train, 100,8
11818,train, 100,6
11819,train, 100,14
11820,train, 100,23
11821,train, 100,12
11822,train,5 10 25 50 100,24
11823,train,25 50 100,16
11824,train,25 50 100,5
11825,train,50 100,11
11826,train, 100,1
11827,train, 100,22
11829,train, 100,15
11830,train, 100,12
11831,train,5 10 25 50 100,27
11833,train, 100,10
11834,train,50 100,1
11835,train,5 10 25 50 100,20
11836,train,25 50 100,9
11837,train,50 100,10
11838,train,50 100,5
11840,train, 100,11
11841,train,50 100,14
11847,train, 100,24
11848,train, 100,10
11849,train, 100,10
11850,train,25 50 100,8
11851,train,50 100,14
11889,train, 100,25
11890,train,25 50 100,25
11891,train,10 25 50 100,18
11892,train, 100,7
11893,train,10 25 50 100,18
11894,train,50 100,19
11895,train,50 100,7
11896,train, 100,8
11897,train,5 10 25 50 100,7
11898,train,50 100,12
11899,train,50 100,1
11901,train, 100,1
11902,train, 100,25
11903,train,50 100,13
11905,train, 100,22
11906,train, 100,19
11908,train,25 50 100,18
11911,train,50 100,26
11912,train, 100,28
11913,train,25 50 100,17
11914,train, 100,16
11915,train,10 25 50 100,1
11916,train,50 100,9
11917,train, 100,12
11918,train,50 100,1
11919,train, 100,1
11920,train,25 50 100,3
11921,train,5 10 25 50 100,9
11922,train,25 50 100,9
11923,train, 100,11
11924,train, 100,11
11925,train,50 100,9
11926,train,50 100,3
11927,train, 100,6
11930,train,50 100,6
11931,train, 100,23
11932,train, 100,5
11933,train, 100,22
11934,train,25 50 100,16
11935,train, 100,9
11936,train, 100,19
11937,train,25 50 100,35
11938,train, 100,24
11939,train,25 50 100,15
11940,train,50 100,21
11941,train,5 10 25 50 100,20
11942,train,25 50 100,18
11943,train,25 50 100,38
11944,train, 100,40
11945,train, 100,41
11946,train,5 10 25 50 100,39
11948,train, 100,37
11949,train, 100,36
11950,train, 100,6
11951,train, 100,45
11952,train, 100,45
11953,train,5 10 25 50 100,47
11954,train,50 100,37
11955,train,50 100,46
